Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «обучение за рубежом» по регионам, 25.04.2026 — 25.05.2026, все устройства
Кировский район;2;0,0000181;57,74;
Тосненский район;4;0,0000406;129,11;
Александровский район;11;0,0001380;438,86;
Удомельский район;1;0,0000482;153,47;
Боровичский район;4;0,0001023;325,54;
Белореченский район;1;0,0000193;61,47;
Славянский район;1;0,0000188;59,96;
Тимашевский район;1;0,0000189;60,27;
Кстовский район;5;0,0000411;130,77;
Белорецкий район;1;0,0000210;66,95;
Мелеузовский район;1;0,0000266;84,66;
Учалинский район;1;0,0000296;94,14;
Рузаевский район;1;0,0000343;109,38;
Надымский район;1;0,0000235;74,80;
Светлогорский район;1;0,0000835;265,62;
Слонимский район;1;0,0001230;391,18;
Северный Кавказ;76;0,0000235;74,87;
Провинция Анталья;2;0,0000491;156,36;
Провинция Стамбул;1;0,0000394;125,49;
Земля Вена;3;0,0003024;961,77;
Уусимаа;6;0,0002594;825,18;
Чайковский район;2;0,0000358;113,93;
Сарыагашский район;1;0,0002902;923,11;
Область Жетысу;1;0,0000306;97,54;
Область Абай;1;0,0000283;90,05;
